 Sat1	        0.81472	           Sat2	        0.90579	           Sat3	        0.12699	           Sat4	        0.91338	           Sat5	        0.63236	
 Sat1	        0.09754	           Sat2	         0.2785	           Sat3	        0.54688	           Sat4	        0.95751	           Sat5	        0.96489	
 Sat1	        0.15761	           Sat2	        0.97059	           Sat3	        0.95717	           Sat4	        0.48538	           Sat5	        0.80028	
 Sat1	        0.14189	           Sat2	        0.42176	           Sat3	        0.91574	           Sat4	        0.79221	           Sat5	        0.95949	
 Sat1	        0.65574	           Sat2	       0.035712	           Sat3	        0.84913	           Sat4	        0.93399	           Sat5	        0.67874	
 Sat1	        0.75774	           Sat2	        0.74313	           Sat3	        0.39223	           Sat4	        0.65548	           Sat5	        0.17119	
 Sat1	        0.70605	           Sat2	       0.031833	           Sat3	        0.27692	           Sat4	       0.046171	           Sat5	       0.097132	
 Sat1	        0.82346	           Sat2	        0.69483	           Sat3	         0.3171	           Sat4	        0.95022	           Sat5	       0.034446	
 Sat1	        0.43874	           Sat2	        0.38156	           Sat3	        0.76552	           Sat4	         0.7952	           Sat5	        0.18687	
 Sat1	        0.48976	           Sat2	        0.44559	           Sat3	        0.64631	           Sat4	        0.70936	           Sat5	        0.75469	
 Sat1	        0.27603	           Sat2	         0.6797	           Sat3	         0.6551	           Sat4	        0.16261	           Sat5	          0.119	
 Sat1	        0.49836	           Sat2	        0.95974	           Sat3	        0.34039	           Sat4	        0.58527	           Sat5	        0.22381	
 Sat1	        0.75127	           Sat2	         0.2551	           Sat3	        0.50596	           Sat4	        0.69908	           Sat5	         0.8909	
 Sat1	        0.95929	           Sat2	        0.54722	           Sat3	        0.13862	           Sat4	        0.14929	           Sat5	        0.25751	
 Sat1	        0.84072	           Sat2	        0.25428	           Sat3	        0.81428	           Sat4	        0.24352	           Sat5	        0.92926	
 Sat1	        0.34998	           Sat2	         0.1966	           Sat3	        0.25108	           Sat4	        0.61604	           Sat5	        0.47329	
 Sat1	        0.35166	           Sat2	        0.83083	           Sat3	        0.58526	           Sat4	        0.54972	           Sat5	        0.91719	
 Sat1	        0.28584	           Sat2	         0.7572	           Sat3	        0.75373	           Sat4	        0.38045	           Sat5	        0.56782	
 Sat1	       0.075854	           Sat2	        0.05395	           Sat3	         0.5308	           Sat4	        0.77917	           Sat5	        0.93401	
 Sat1	        0.12991	           Sat2	        0.56882	           Sat3	        0.46939	           Sat4	       0.011902	           Sat5	        0.33712	
 Sat1	        0.16218	           Sat2	        0.79428	           Sat3	        0.31122	           Sat4	        0.52853	           Sat5	        0.16565	
 Sat1	        0.60198	           Sat2	        0.26297	           Sat3	        0.65408	           Sat4	        0.68921	           Sat5	        0.74815	
 Sat1	        0.45054	           Sat2	       0.083821	           Sat3	        0.22898	           Sat4	        0.91334	           Sat5	        0.15238	
 Sat1	        0.82582	           Sat2	        0.53834	           Sat3	        0.99613	           Sat4	       0.078176	           Sat5	        0.44268	
 Sat1	        0.10665	           Sat2	         0.9619	           Sat3	      0.0046342	           Sat4	        0.77491	           Sat5	         0.8173	
 Sat1	        0.86869	           Sat2	       0.084436	           Sat3	        0.39978	           Sat4	        0.25987	           Sat5	        0.80007	
 Sat1	        0.43141	           Sat2	        0.91065	           Sat3	        0.18185	           Sat4	         0.2638	           Sat5	        0.14554	
 Sat1	        0.13607	           Sat2	        0.86929	           Sat3	         0.5797	           Sat4	        0.54986	           Sat5	        0.14495	
 Sat1	        0.85303	           Sat2	        0.62206	           Sat3	        0.35095	           Sat4	        0.51325	           Sat5	        0.40181	
 Sat1	       0.075967	           Sat2	        0.23992	           Sat3	        0.12332	           Sat4	        0.18391	           Sat5	        0.23995	
 Sat1	        0.41727	           Sat2	       0.049654	           Sat3	        0.90272	           Sat4	        0.94479	           Sat5	        0.49086	
 Sat1	        0.48925	           Sat2	        0.33772	           Sat3	        0.90005	           Sat4	        0.36925	           Sat5	         0.1112	
